Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
5258,"No, no, that’s just Chuck Magioni, I-I sold him a house last year!",Phoebe Sr,neutral,530,15,3,25,"00:19:45,142","00:19:53,816"
5260,Oh.,Phoebe,sadness,530,17,3,25,"00:19:56,320","00:19:57,570"
5284,For a walk.,Joey,neutral,532,1,9,12,"00:10:35,426","00:10:37,135"
5293,"It's like ... like she's the princess and I'm the stable    boy ... Why are you doing this, huh?",Joey,sadness,532,10,9,12,"00:11:07,291","00:11:17,092"
5297,Great novels?,Chandler,surprise,532,14,9,12,"00:11:28,896","00:11:31,022"
5305,"Hello Rachel, you uh, got a minute?",Mr. Zelner,neutral,533,6,7,9,"00:16:37,496","00:16:39,706"
5308,"Okay. Uh, well can we, can we get you anything Mr. Zelner? Maybe some chocolates?",Rachel,neutral,533,9,7,9,"00:16:51,051","00:16:57,849"
5325,"Back then, I thought that I would never, ever get the chance to go out with a Chip Matthews, and now he’s-he’s called me up and asked me out.",Monica,surprise,536,8,4,2,"00:07:55,558","00:08:03,482"
5328,I never let her eat.,Monica,neutral,536,11,4,2,"00:08:07,904","00:08:09,654"
5336,"Oh come on man, you can dance with my partner, she’s real, uh, mellow!",Joey,anger,537,3,6,10,"00:12:31,208","00:12:35,295"
5347,"Oh, you like it? You wanna know where I got it?",Ross,joy,538,6,6,11,"00:09:01,582","00:09:08,213"
5353,Am I the only one who doesn't think that she's hot? Ross?,Rachel,surprise,539,2,9,12,"00:01:13,656","00:01:16,116"
5376,"Seriously, our sex life… I was thinking, maybe I don’t know, we could try some-some new things.",Ross,neutral,541,11,6,15,"00:14:25,698","00:14:34,205"
5392,"Rachel, I made you a cocoa.",Gunther,neutral,542,5,3,21,"00:00:15,306","00:00:17,057"
5419,The most unbelievable thing has happened. Underdog has just gotten away.,Chandler,surprise,545,6,1,9,"00:13:43,155","00:13:46,741"
5420,The balloon?,Joey,neutral,545,7,1,9,"00:13:46,909","00:13:50,537"
5505,"I don’t see it.  You are dancing with the tall guy over there. Tall guy, raise your hand!",Director,neutral,553,18,6,10,"00:09:24,480","00:09:30,277"
5531,No.,Ross,neutral,556,5,8,16,"00:07:44,922","00:07:46,173"
5532,"My son? Pretty serious.  Oh hey Katie!  What uh, what are you doing here?",Ross,surprise,556,6,8,16,"00:21:40,507","00:21:50,891"
5534,"Ah, must’ve been fairly obvious since it was the only thing left in your store.",Ross,neutral,557,1,8,21,"00:10:12,195","00:10:16,575"
5538,"Oh! Wow! Uh, yeah! That sounds great. I’m just gonna put this  back in my pocket, pretend",Ross,joy,557,5,8,21,"00:10:31,506","00:10:35,927"
5546,"Ummmmmmmm, no.",Chandler,neutral,558,5,4,10,"00:11:09,960","00:11:12,837"
5554,That's right.,Chandler,neutral,559,4,1,1,"0:01:35,600","0:01:36,892"
5557,"All of a sudden, the phone starts to ring.",Chandler,neutral,559,7,1,1,"00:01:38,723","00:01:42,851"
5571,Oh my god.,Monica,surprise,561,3,1,5,"0:18:06,126","0:18:06,968"
5595,Are you sure you wanna do this?,Monica,neutral,562,8,5,24,"00:21:09,476","00:21:11,060"
5600,It depends on who asked.,Rachel,neutral,563,1,4,11,"00:21:33,458","00:21:34,709"
5608,"You…are…not going to believe it! Joshua came into work today, and guess what happened?",Rachel,joy,564,0,4,15,"00:13:17,463","00:13:21,925"
5611,Saucy!,Monica,joy,564,3,4,15,"00:13:29,642","00:13:31,518"
5613,Electrical plans for the building.,Monica,neutral,564,5,4,15,"0:13:33,398","0:13:36,277"
5628,"All right honey, we'd better go if we wanna catch that movie.",Rachel,neutral,568,1,5,14,"00:09:12,343","00:09:14,761"
5631,Bye Chandler!   I miss you already.,Phoebe,sadness,568,4,5,14,"00:09:15,596","00:09:20,225"
5633,"Actually, I did!",Monica,surprise,568,6,5,14,"00:09:28,568","00:09:29,651"
5645,Ready?  Wrestle!,Monica,joy,570,2,5,10,"00:13:32,186","00:13:35,939"
5649,I’m telling you he’s dead. What we are about to have here is a dead fat guy on a stick.,Phoebe,anger,571,2,3,8,"00:20:40,239","00:20:45,326"
5654,Careful of the angle.,Joey,neutral,571,7,3,8,"00:20:54,628","00:20:56,212"
5676,"No-no, I’m…I’m sure no one was looking. Just want some privacy.",Ross,neutral,572,13,8,23,"00:09:49,785","00:09:53,831"
5677,You miss your girlfriend?,Evil Bitch,neutral,572,14,8,23,"00:09:57,793","00:09:59,670"
5693,Say it!,Rachel,joy,573,9,6,17,"00:16:10,761","00:16:11,803"
5704,How?! When?!,Joey,surprise,574,9,5,5,"00:20:30,520","00:20:32,355"
5723,You got a better idea?,Joey,neutral,576,3,2,6,"0:16:02,393","0:16:03,178"
5728,We have to assign heads to something.,Chandler,neutral,576,8,2,6,"00:16:12,221","00:16:14,222"
5744,I could be Chandler’s new roommate.,Mr. Heckles,surprise,578,5,3,6,"0:10:23,665","0:10:25,551"
5750,"Oh, hey guys!",Chandler,joy,579,1,3,10,"00:16:40,791","00:16:42,208"
5756,"Okay, c’mon guys, show us where the presents are!",Phoebe,neutral,583,0,6,10,"00:16:59,476","00:17:01,978"
5773,"This is your grandmother’s engagement ring, I want you to give it to Rachel.",Mrs. Geller,joy,584,7,8,23,"00:07:09,750","00:07:14,130"
5811,"But if—no look, okay. These jerks might not care about you, but the universe does! And that says a lot!",Phoebe,sadness,589,5,7,13,"00:19:13,819","00:19:21,200"
5827,I’m having a really good time!,Phoebe,joy,590,4,7,5,"00:08:19,290","00:08:21,374"
5843,Mine!,Joey,neutral,591,2,5,7,"00:12:07,268","00:12:08,601"
5849,"All right, hold on!",Joey,neutral,592,4,5,12,"0:11:22,682","0:11:23,308"
5853,He's our friend.,Joey,neutral,592,8,5,12,"0:11:26,852","0:11:27,564"
5864,Oh God!,Robert,sadness,593,3,3,13,"0:17:50,152","0:17:51,534"
5873,Terry!,Joey,sadness,594,1,7,4,"0:18:42,747","0:18:43,248"
5892,"Yeah, but only a genius would swallow a sonic blaster gun.",Phoebe,neutral,596,2,6,5,"00:13:45,032","00:13:48,243"
5894,"Joey, you know you don’t actually have one.",Monica,neutral,596,4,6,5,"00:13:56,168","00:13:58,461"
5900,But you-you can’t leave me with them! We-we’re a team! We’re playing a zone! They’re gonna triple team me!,Phoebe,anger,596,10,6,5,"00:14:15,729","00:14:20,733"
5922,"I won’t care, because I know you will be feeling it all in here.",Monica,neutral,597,10,6,14,"00:13:31,352","00:13:35,980"
5937,"Hey Mon, you might wanna make some more lasagna too, because something might’ve happened to a huge chunk of it.",Joey,neutral,599,8,7,9,"00:05:06,431","00:05:11,393"
5940,Sure!,Phoebe,neutral,599,11,7,9,"00:05:24,615","00:05:26,408"
5962,Eight whole days.,Ben,neutral,603,1,7,10,"00:20:14,838","00:20:16,797"
5964,Awesome!,Ben,joy,603,3,7,10,"0:20:21,011","0:20:21,804"
5966,My favorite part was when,Chandler,neutral,603,5,7,10,"00:20:23,430","00:20:29,268"
5969,Oh.,Phoebe,neutral,603,8,7,10,"00:20:54,419","00:20:55,795"
5971,"Come on, come on, we’re-we’re-we’re lighting the candles!",Ross,joy,603,10,7,10,"00:21:01,551","00:21:03,886"
5972,Oh.,Rachel,neutral,603,11,7,10,"0:21:04,054","0:21:04,513"
5974,"Okay, I understand why",Phoebe,neutral,603,13,7,10,"00:21:09,184","00:21:10,935"
5978,"Wow! That’s exciting, you went to Japan, made up a woman.",Phoebe,surprise,604,2,3,21,"00:07:19,897","00:07:23,567"
5989,"No I’m serious. I mean I’m intuitive, but my memory sucks.",Phoebe,neutral,604,13,3,21,"00:07:59,437","00:08:02,230"
6028,Yeah.,Rachel,neutral,607,15,1,3,"00:17:53,614","00:17:55,406"
6050,"Oh, look look look.",Phoebe,surprise,608,0,1,7,"0:20:45,160","0:20:45,953"
6065,"No, it's ok! Made me feel like a rock star!",Ross,joy,610,4,9,23,"00:30:52,725","00:30:55,686"
6104,I cannot believe that I just spent the last two days trying to figure out the recipe and it was in my cupboard the whole time!,Monica,anger,613,9,7,3,"00:19:01,014","00:19:06,811"
6109,Rachel didn't you just light that?,Kim,neutral,614,3,5,18,"00:14:41,130","00:14:43,131"
6110,"Yeah, I did, but y'know what? I am really, really trying to cut back, y'know?  Good luck, Rach.",Rachel,neutral,614,4,5,18,"00:14:43,299","00:14:50,197"
6117,Oh but you could.,Rachel,neutral,614,11,5,18,"0:15:06,572","0:15:07,424"
6121,We can get--what are those--those patches!,Rachel,neutral,614,15,5,18,"0:15:09,334","0:15:11,126"
6126,Okay then!,Rachel,joy,614,20,5,18,"00:15:31,096","00:15:32,597"
6128,"Well, maybe it's a contest, y'know? Like, collect all five?",Chandler,neutral,615,0,1,3,"00:14:12,768","00:14:15,395"
6138,"And Ross, with his over-pronouncing every single word?",Chandler,anger,615,10,1,3,"00:14:37,167","00:14:39,335"
6146,"Oh,  ""you do, do you""?",Joey,anger,615,18,1,3,"00:15:19,293","00:15:21,544"
6148,"""Indeed there isn't""... I should really get back to work.",Rachel,joy,615,20,1,3,"00:15:31,055","00:15:37,769"
6150,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",Rachel,anger,615,22,1,3,"00:15:42,358","00:15:46,694"
6151,Awww! Mel Torme died.,Joey,sadness,616,0,7,11,"00:05:55,188","00:05:59,191"
6152,"Joey, that paper’s like a year old!",Monica,neutral,616,1,7,11,"00:05:59,359","00:06:01,818"
6163,"I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!""",Phoebe,anger,617,7,7,10,"00:03:32,879","00:03:36,340"
6175,"Well then he gets a divorce, it’s Ross!",Rachel,neutral,619,5,8,24,"00:14:47,458","00:14:50,627"
6180,"And Tim I just wanna say, good luck here.",Phoebe,neutral,620,0,8,5,"00:18:21,350","00:18:25,019"
6195,"Look at that guy for example, I mean normally that’s not someone I would-would be attracted to, but right now, with the way I’m feeling, all I want to do is rip off his sweatpants and fanny pack.",Rachel,neutral,622,6,8,11,"00:00:20,729","00:00:28,110"
6212,And the guys from work had a blast.,Ross,joy,623,8,4,22,"00:12:18,070","00:12:19,821"
6219,"That ring? When my grandmother first came to this country, that ring and the clothes on her back were all she had with her.",Ross,surprise,623,15,4,22,"00:12:42,303","00:12:50,560"
6234,Maybe I’ll take her to that new French restaurant down the street,Ross,neutral,625,10,7,17,"00:11:34,151","00:11:37,862"
6237,I don’t have the money to take her to a fancy place like that.,Joey,anger,625,13,7,17,"00:11:41,701","00:11:44,577"
6265,"Hey Gunther, these yours?",Joey,neutral,628,3,6,5,"00:01:47,982","00:01:50,609"
6267,Na-uh!  Hey did anybody lose their keys?,Joey,neutral,628,5,6,5,"00:02:01,746","00:02:03,497"
6286,Hello?,Monica,neutral,629,9,2,2,"00:08:14,118","00:08:15,243"
6287,"Oh, Hi, Ju——Hi, Jew!",Monica,neutral,629,10,2,2,"00:08:15,411","00:08:19,998"
6298,"What the smell from Joey’s? No, I can hardly smell it over here.",Phoebe,surprise,630,3,6,18,"00:11:43,869","00:11:45,745"
6314,Are you crazy?,Monica,anger,632,3,9,1,"0:14:42,554","0:14:43,106"
6316,It’s-it’s so  inappropriate.,Monica,anger,632,5,9,1,"0:14:46,468","0:14:48,070"
6321,You can’t marry him!,Monica,sadness,632,10,9,1,"00:14:57,897","00:15:00,273"
6330,Here comes the bride.,Mrs. Geller,joy,633,1,7,24,"00:07:58,102","00:08:00,700"
6334,I’m so happy for me.,Monica,joy,633,5,7,24,"00:08:12,992","00:08:14,784"
6346,And I loved being Fun Aunt Rachel but I’ll go back to being Boring and Uncomfortable Aunt Rachel if that’s what you want!,Rachel,anger,634,3,7,16,"00:17:50,027","00:17:54,238"
6358,"Uh sir, may I see your tickets please?",Airline Employee,neutral,635,6,8,3,"00:08:29,091","00:08:34,179"
6375,You spent a hundred dollars. That’s the limit. You’re screwed!,Joey,joy,637,0,7,17,"00:14:09,181","00:14:13,643"
6379,I don’t know.,Joey,neutral,637,4,7,17,"0:14:28,952","0:14:30,484"
6389,Hey!,Ross,surprise,638,2,7,13,"00:06:00,318","00:06:01,818"
6395,"Oh, that’s okay, I can’t wait to see everything again! All of the memories",Monica,joy,638,8,7,13,"00:06:25,510","00:06:28,720"
6423,"Yes, that’s very good. Now a uh, big part of this job is cultivating personal relationships, especially with designers.",Mr. Posner,neutral,640,12,4,9,"00:07:13,182","00:07:22,941"
6465,It,Monica,neutral,645,12,8,20,"00:14:33,694","00:14:35,904"
6466,Hey!,Ross,joy,645,13,8,20,"00:14:43,704","00:14:45,205"
6471,Oh my God! This is it!   I really hope it’s you!,Rachel,joy,646,1,7,6,"00:00:08,717","00:00:12,845"
6477,"Like hypothetically, if Phoebe were mine",Monica,neutral,646,7,7,6,"0:00:29,279","0:00:31,281"
6486,"Well that’s the best part. Umm,",Monica,neutral,646,15,7,6,"00:00:50,967","00:00:54,678"
6519,I would like to meet him. He sounds like a stand up guy.,Joey,neutral,649,17,8,12,"00:05:19,736","00:05:23,530"
6546,What are you guys doing here?,Monica,anger,651,10,1,11,"00:11:56,507","00:11:58,550"
6612,"Oh, my fiancee wants the Swing Kings.",Monica,neutral,657,13,7,17,"00:04:45,493","00:04:49,204"
6617,Now that you know what you want you should go to Kleinman’s and get it half off.,Rachel,neutral,657,17,7,17,"00:05:02,719","00:05:06,346"
6625,"What are you, insane?",Chandler,anger,658,5,1,20,"0:01:55,992","0:01:57,641"
6661,Okay.,Paul,neutral,660,0,6,23,"00:04:56,629","00:04:58,505"
6666,And instead my parents got me this little plastic chicken that you hop around on.,Paul,anger,660,4,6,23,"00:05:05,471","00:05:12,311"
6677,Oh!,Rachel,surprise,660,15,6,23,"00:07:12,473","00:07:14,182"
6691,"Oh, actually I sorta have plans.",Annabelle,neutral,662,3,2,2,"00:07:02,839","00:07:05,257"
6694,"Hey, it's not the first time I lost a girl to a cowboy spraying cologne.  Bijan for men?  Bijan for men?!",Joey,sadness,662,6,2,2,"00:07:28,573","00:07:34,411"
6700,"No, you're the best.",Monica,neutral,663,5,5,17,"0:14:25,323","0:14:26,908"
6709,"Oh come on, we just had this huge fight, all right, don’t I have to wait a while?",Ross,sadness,664,3,3,15,"00:16:49,425","00:16:52,635"
6726,"Okay, well y’know what, don’t worry you guys, ‘cause I’m-I’m gonna do this as many times as it takes to get it right.",Phoebe,neutral,665,11,4,12,"00:06:26,469","00:06:31,348"
6743,Hey!,Joey,neutral,666,0,5,7,"0:11:00,451","0:11:01,035"
6744,Hey!,Monica,neutral,666,1,5,7,"0:11:01,035","0:11:01,926"
6772,Sorry about that. So. What have you been up to?,Barry,neutral,669,0,1,2,"00:17:27,337","00:17:35,344"
6778,"Oh God, oh.",Rachel,anger,670,1,1,21,"00:16:06,924","00:16:08,257"
6785,"No, it is me!",Monica,joy,670,8,1,21,"00:16:40,165","00:16:41,916"
6805,No idea!,Joey,surprise,671,11,9,21,"0:16:43,348","0:16:46,138"
6806,"But the guy I said it to dies in the next scene so I    guess it means ""you're gonna get eaten by a bear"".",Joey,neutral,671,12,9,21,"00:16:46,255","00:16:58,182"
6819,"So umm, does it?",Rachel,neutral,672,7,4,1,"00:07:40,376","00:07:44,296"
6858,Bad things happen to me anyway.,Chandler,neutral,674,6,1,18,"0:12:32,419","0:12:34,647"
6859,This way I can break 'em up with a movie.,Chandler,neutral,674,7,1,18,"00:12:35,671","00:12:38,214"
6865,No. No no no no no. That's Rodney McDowell. Andie McDowell is the guy from,Rachel,neutral,675,3,2,1,"00:21:44,428","00:21:55,354"
6869,That's crazy!,Rachel,surprise,676,1,5,5,"0:10:13,904","0:10:15,426"
6896,Hi!,Rachel,joy,678,9,3,5,"0:04:27,990","0:04:28,537"
6907,"Okay, Chandler!",Rachel,neutral,679,0,6,21,"0:00:02,168","0:00:03,300"
6910,"Oh, well thank you in advance.",Chandler,joy,679,3,6,21,"00:00:09,426","00:00:12,052"
6911,"Op, but the twelfth brings a lover’s spat.",Rachel,surprise,679,4,6,21,"00:00:12,220","00:00:20,853"
6912,"Oh, wait and on the nineteenth a secret crush announces itself.",Rachel,surprise,679,5,6,21,"00:00:21,021","00:00:25,733"
6914,Hey!!,Chandler,joy,679,7,6,21,"0:00:31,796","0:00:32,709"
6930,"Hey! Hey-hey, now this was no one’s fault Pheebs. Okay? It was an accident.",Rachel,neutral,680,6,6,18,"00:09:11,008","00:09:15,679"
6941,"Oh, poor little Tooty is scared to death. We should find his owner.",Phoebe,sadness,681,2,1,7,"00:13:30,017","00:13:33,269"
6946,"But I'll still always come back, like this.",Ross,neutral,682,1,1,23,"00:20:39,988","00:20:45,576"
6947,"And sometimes I may be away longer, like this.",Ross,neutral,682,2,1,23,"00:20:46,662","00:20:52,375"
6971,Had the money in the wrong hand.,Chandler,neutral,685,1,7,10,"0:05:12,448","0:05:14,695"
6973,I’ll do it.,Rachel,neutral,686,1,7,23,"0:12:39,550","0:12:40,432"
6979,"You’re right, I’m sorry.",Monica,sadness,686,6,7,23,"0:12:49,727","0:12:51,709"
6988,That’ll be all.,Rachel,neutral,687,3,7,9,"0:03:42,310","0:03:42,983"
6989,Wait!,Rachel,surprise,687,4,7,9,"0:03:43,598","0:03:44,160"
6991,Did you see that?,Rachel,surprise,687,6,7,9,"00:03:49,187","00:03:50,229"
6995,Yes.,Monica,joy,689,1,4,2,"0:01:40,705","0:01:40,943"
7003,"I know!!   Chip? Hi! It’s Monica.  ‘Kay.  ‘Kay.  Okay.  Okay, good-bye.  Oh my God, we just had",Monica,joy,689,9,4,2,"00:02:03,498","00:02:17,594"
7022,I have actually,Joey,neutral,693,0,4,4,"00:04:38,820","00:04:41,446"
7035,Damn it!,Ben,joy,695,4,7,16,"0:09:22,375","0:09:22,513"
7039,"Hey Rach! Hey, you mind if I read my comic books in here?",Joey,neutral,696,0,5,12,"00:16:05,214","00:16:09,050"
7042,What?!,Rachel,surprise,696,3,5,12,"00:16:18,852","00:16:19,852"
7043,She just called and said that she was gonna be working late!,Rachel,anger,696,4,5,12,"00:16:18,852","00:16:22,438"
7048,"So Chandler, I-I'd love to come by tonight.",Phoebe,joy,697,0,5,14,"00:14:34,164","00:14:36,374"
7058,You still love me?,Ross,anger,698,2,3,25,"0:16:31,240","0:16:32,283"
7076,"No! No, you can't arrest me! No!! I won't go back! I won't go back to that hell hole!!",Phoebe,anger,699,12,5,24,"00:17:35,929","00:17:38,014"
7082,No!,Rachel,anger,700,3,6,1,"0:15:21,170","0:15:23,152"
7089,"Oh Ross, come on! This is not, this is not a marriage!! This is the world’s worst hangover! Ross, listen, if",Rachel,anger,700,10,6,1,"00:15:47,196","00:15:55,662"
7122,Ohh.,Chandler,neutral,705,4,5,10,"00:02:42,120","00:02:43,162"
7127,I can't,Monica,neutral,706,0,5,13,"00:00:02,460","00:00:07,339"
7134,"It's so good, isn't it?",Monica,neutral,706,7,5,13,"00:00:35,410","00:00:36,952"
7137,Good-bye muscles!!,Chandler,joy,706,10,5,13,"0:00:42,543","0:00:43,190"
7144,What's this?,Phoebe,neutral,707,6,5,10,"0:16:41,041","0:16:43,103"
7164,Awesome!,Ross,joy,712,5,8,20,"00:03:08,885","00:03:10,511"
7175,"Well, yes! Just give me five minutes, I just have to find someone to cover my shift.",The Librarian,joy,714,1,7,7,"00:09:51,757","00:09:58,138"
7207,"Thanks, I’m set. Do you still live with your parents?",Monica,neutral,718,5,4,2,"00:17:14,324","00:17:15,575"
7247,"No, eh, oh-oi, easy, it's not a hot dog!",Joey,anger,722,10,5,20,"0:16:01,970","0:16:04,192"
7253,I thought you were showing me how much you mean to me.,Chandler,surprise,722,15,5,20,"00:16:19,395","00:16:21,604"
7266,What about Glen? He could be a Glen.,Phoebe,neutral,724,2,1,11,"00:05:49,098","00:05:51,016"
7277,"Ah yeah, sorry about that.",Cassie,sadness,726,0,7,19,"0:12:34,670","0:12:36,672"
7281,Oh my God! You do a great Chandler!,Cassie,surprise,726,4,7,19,"00:13:07,578","00:13:11,456"
7289,But you-you said black. Why would he want his blue blazer black?,Rachel,neutral,727,4,4,11,"00:02:42,912","00:02:46,623"
7330,"Ross, thank you. Hey, do you guys wanna go see a movie?",Rachel,neutral,733,3,6,1,"00:20:44,076","00:20:48,621"
7344,"Oh, well I tell Issac everything.",Chloe,neutral,735,1,3,16,"00:08:38,142","00:08:41,895"
7351,"Yeah. Listen, can you keep this information to yourself?",Ross,neutral,735,8,3,16,"00:09:09,465","00:09:13,885"
7354,"Yeah, we are.",Issac,neutral,735,11,3,16,"00:09:24,438","00:09:25,855"
7355,"No, we’re not.",Ross,neutral,735,12,3,16,"00:09:26,524","00:09:28,233"
7357,"No, we’re not!!",Ross,anger,735,14,3,16,"0:09:31,070","0:09:31,952"
7387,Yeah?,Ross,neutral,738,1,7,13,"0:01:56,366","0:01:58,548"
7423,"Oh my God, does she really thinks that?",Mr. Geller,surprise,740,4,7,13,"00:12:21,615","00:12:23,616"
7439,He’s coming here for Thanksgiving!,Ross,joy,742,0,4,8,"00:11:25,309","00:11:28,478"
7450,Do you want a date Saturday?,Shelley,neutral,744,3,1,8,"0:00:28,987","0:00:30,364"
7475,There’s this kid in my class who said he’s in love with me.,Ross,sadness,747,2,7,18,"00:08:03,316","00:08:06,818"
7484,What-what-what-what is it?!,Ross,joy,747,11,7,18,"00:08:22,752","00:08:26,588"
7485,Am I giving out some kind of…sexy professor vibe?,Ross,anger,747,12,7,18,"00:08:22,752","00:08:29,341"
7486,Not right now.,Rachel,neutral,747,13,7,18,"00:08:32,261","00:08:33,970"
7492,Oh yes! Thank you very much!  Oh that’s-that’s actually how the French drink it.,Rachel,joy,748,0,8,1,"00:11:04,705","00:11:20,762"
7498,8. 8!,Chandler,joy,749,5,5,24,"0:10:31,505","0:10:32,506"
7501,"Yeah, I understand.",Richard,neutral,750,0,6,25,"00:14:52,683","00:14:54,183"
7515,I’m-I’m Ross by the way.,Ross,neutral,752,8,6,16,"00:05:00,091","00:05:01,717"
7521,"Look Ben, it's a toy that protects U.S. oil interests overseas!",Ross,joy,753,2,3,4,"00:14:38,460","00:14:42,255"
7526,Down at the docks again?,Rachel,anger,754,4,3,3,"00:11:25,976","00:11:28,019"
7531,What’s a scrud?,Ross,neutral,755,4,3,10,"0:16:52,053","0:16:52,231"
7534,"All right girls, and man. Let’s see your final tallies.  Ohhhh, Debbie,  321 boxes of cookies,  Very nice.",Leader,joy,755,7,3,10,"00:17:05,065","00:17:12,155"
7535,Not nice enough.,Ross,anger,755,8,3,10,"00:17:19,788","00:17:22,123"
7539,Good.,Monica,neutral,756,2,3,13,"0:11:47,499","0:11:48,721"
7541,"Yeah, I’ve been thinking a lot about you too.",Monica,neutral,756,4,3,13,"00:11:51,961","00:11:55,130"
7547,I’ll call you back.,Monica,neutral,756,9,3,13,"00:12:17,361","00:12:18,486"
7558,Right!,Chandler,joy,757,10,5,3,"0:19:10,274","0:19:10,413"
7567,Why are you shopping here? You don't live in this neighborhood. Were you here waiting for me?,Janice,surprise,759,2,3,4,"00:16:48,716","00:16:54,262"
7574,A woman's,Chandler,neutral,759,9,3,4,"0:17:18,120","0:17:19,012"
7585,"Wow. Oh, I am really flattered, but I just I don’t feel that way about you.",Dana,surprise,760,3,6,18,"00:14:24,321","00:14:33,204"
7588,"OK, well, you wouldn't let me finish and I was jus- [Monica flicks her back] Ow. That hurt [flicks Monica]",Rachel,joy,761,1,2,13,"00:10:31,339","00:10:37,594"
7589,"Oh!  All right.  Now, let's not do this!",Phoebe,anger,761,2,2,13,"00:10:48,898","00:10:49,981"
7592,Ow! Ow! Ow!,Rachel,anger,761,5,2,13,"00:11:08,751","00:11:10,001"
7608,"I mean when I was a kid I only played those games because I couldn’t get girls, and now I",Chandler,neutral,763,4,6,3,"00:09:29,610","00:09:35,115"
7615,Totally!,Monica,joy,764,0,2,3,"00:10:02,643","00:10:04,561"
7627,"You know, it's like the first time I had to make dinner for myself, after Carol left me?",Ross,neutral,767,2,1,5,"00:16:24,566","00:16:32,949"
7646,"I don't want to be single, okay? I just... I just- I just wanna be married again!",Ross,sadness,769,0,1,1,"00:03:22,660","00:03:25,829"
7658,"Oh, I'm sorry, am I getting in the way of all the room switching fun?",Chandler,anger,770,9,5,5,"00:08:47,485","00:08:50,695"
7661,"I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!",Monica,anger,770,12,5,5,"00:08:57,036","00:09:02,541"
7668,"Yeah, it kinda makes that-that one night special.  Y’know, technically we still",Chandler,neutral,771,1,5,1,"00:14:56,729","00:15:07,280"
7682,"Hey, Monica, wow you’ve been in the bathroom for like a half-hour.",Joey,surprise,771,15,5,1,"00:16:07,925","00:16:10,885"
7699,"Umm, I am free tomorrow night.",Rachel,neutral,772,14,6,15,"00:21:11,645","00:21:14,897"
7700,"Yeah, sure, sure I can bring some sandwiches.",Rachel,neutral,772,15,6,15,"00:21:16,525","00:21:19,568"
7705,"That was 10 blocks from here and, the, the woman was walking alone at night, I would never do that.",Rachel,sadness,774,1,2,4,"00:00:05,338","00:00:11,010"
7712,"Great. Uhh, just tell her her husband stopped by.",Stranger,neutral,774,8,2,4,"00:01:18,328","00:01:21,205"
7718,Yeah. Where were you?,Monica,neutral,776,3,3,22,"0:09:22,027","0:09:22,899"
7739,"Would you mind spending some time on my siadic area, it’s been killing me today.",Rick,anger,778,2,4,4,"00:09:17,807","00:09:21,685"
7740,"You mean the—Okay by siadic, you mean the towel covered portion.",Phoebe,neutral,778,3,4,4,"00:09:23,729","00:09:29,943"
7754,Whoooaa!,All,surprise,775,2,1,7,"00:05:42,175","00:05:43,675"
7757,"You wouldn't return my calls, you sent back my letters....",Guy,sadness,780,4,3,3,"00:02:53,131","00:02:55,883"
7764,"So, Carol and I went behind a couple of those mechanical Dutch children... then they fixed the ride, and we were asked never to return to the Magic Kingdom.",Ross,joy,775,12,1,7,"00:06:21,089","00:06:31,098"
7786,I'm not your brother.,Man,neutral,785,0,9,11,"00:22:50,786","00:22:52,912"
7793,"Uh, don't you mean ""for whom?""",Joey,neutral,787,1,6,7,"00:16:59,309","00:17:02,687"
7798,You're hot.,Joey,neutral,787,6,6,7,"00:17:24,001","00:17:25,501"
7808,"Well, I’m off to bed!",Chandler,neutral,788,4,6,13,"00:21:14,564","00:21:16,190"
7822,"Oh! Hey Rach, listen umm",Joey,neutral,791,2,8,12,"0:02:05,375","0:02:06,877"
7827,"Yeah! Oh, and then afterwards you can take her to the",Rachel,neutral,791,7,8,12,"00:02:17,011","00:02:20,556"
7829,"Ooh, I miss dating.",Rachel,sadness,791,9,8,12,"0:02:31,568","0:02:33,737"
7840,I’ll be fun.,Joey,neutral,791,20,8,12,"0:03:06,936","0:03:07,979"
7859,How can I accept that...,Joey/Drake,sadness,792,17,9,19,"00:10:28,128","00:10:31,131"
7878,She’s-she’s just a friend and that’s all!,Ross,anger,794,4,5,1,"0:14:12,017","0:14:13,477"
7881,"Please, promise me that you’ll tell her that.",Ross,sadness,794,7,5,1,"00:14:19,149","00:14:22,443"
7901,"Not a fan, alright .",Chandler,neutral,796,7,9,2,"0:13:55,835","0:13:57,775"
7917,How are you?,Monica,neutral,797,2,1,21,"00:17:42,561","00:17:44,187"
7960,"Uh, middle balcony.",Ross,neutral,802,4,8,10,"0:21:36,379","0:21:37,444"
7961,You’re a mean old woman.,Boy in the Cape,anger,803,0,8,6,"00:14:48,888","00:14:50,722"
7980,"Okay, I’m sorry.",Rachel,sadness,804,9,4,4,"00:01:48,942","00:01:50,651"
7984,"Yeah-yeah, there it is, just a phone number a really hot girl gave me.",Ross,joy,805,3,4,5,"00:00:18,143","00:00:24,023"
7988,Thank you.,Phoebe,neutral,805,7,4,5,"00:00:56,014","00:00:57,222"
7995,Hey! How’d it go?,Monica,sadness,806,6,8,2,"0:17:43,145","0:17:44,438"
